loaded 130765
[counter] model=claude-opus-4-7 baseline(§§)=13
[mega] resume: 0 already done, 130765 pending
[mega] 41500/130765 hits=45 rpm~2995 conc=300 inflight=248 429=0
[mega] 42000/130765 hits=45 rpm~2992 conc=300 inflight=245 429=0
[mega] 42500/130765 hits=45 rpm~2993 conc=300 inflight=291 429=0
[mega] 43000/130765 hits=45 rpm~2996 conc=300 inflight=299 429=0
[mega] 43500/130765 hits=45 rpm~3003 conc=300 inflight=165 429=0
[mega] 44000/130765 hits=45 rpm~2995 conc=300 inflight=299 429=0
[mega] 44500/130765 hits=45 rpm~2998 conc=300 inflight=195 429=0
[mega] 45000/130765 hits=45 rpm~2996 conc=300 inflight=0 429=0
[mega] 45500/130765 hits=45 rpm~2993 conc=300 inflight=284 429=0
[mega] 46000/130765 hits=45 rpm~2994 conc=300 inflight=292 429=0
[mega] 46500/130765 hits=45 rpm~2998 conc=300 inflight=175 429=0
[mega] 47000/130765 hits=45 rpm~2990 conc=300 inflight=299 429=0
[mega] 47500/130765 hits=45 rpm~2995 conc=300 inflight=247 429=0
[mega] 48000/130765 hits=45 rpm~2997 conc=300 inflight=0 429=0
[mega] 48500/130765 hits=45 rpm~2991 conc=300 inflight=298 429=0
[mega] 49000/130765 hits=45 rpm~2996 conc=300 inflight=226 429=0
[mega] 49500/130765 hits=45 rpm~3002 conc=300 inflight=115 429=0
[mega] 50000/130765 hits=45 rpm~2994 conc=300 inflight=0 429=0
[mega] 50500/130765 hits=45 rpm~2993 conc=300 inflight=247 429=0
[mega] 51000/130765 hits=45 rpm~2997 conc=300 inflight=0 429=0
[mega] 51500/130765 hits=45 rpm~2990 conc=300 inflight=299 429=0
[mega] 52000/130765 hits=45 rpm~2995 conc=300 inflight=292 429=0
[mega] 52500/130765 hits=45 rpm~3001 conc=300 inflight=115 429=0
[mega] 53000/130765 hits=45 rpm~2995 conc=300 inflight=0 429=0
[mega] 53500/130765 hits=45 rpm~2998 conc=300 inflight=173 429=0
[mega] 54000/130765 hits=45 rpm~2997 conc=300 inflight=0 429=0
[mega] 54500/130765 hits=45 rpm~2995 conc=300 inflight=197 429=0
[mega] 55000/130765 hits=45 rpm~3000 conc=300 inflight=0 429=0
[mega] 55500/130765 hits=45 rpm~2989 conc=300 inflight=297 429=0
[mega] 56000/130765 hits=45 rpm~2995 conc=300 inflight=0 429=0
[mega] 56500/130765 hits=45 rpm~2992 conc=300 inflight=247 429=0
[mega] 57000/130765 hits=45 rpm~2992 conc=300 inflight=224 429=0
[mega] 57500/130765 hits=45 rpm~2998 conc=300 inflight=98 429=0
[mega] 58000/130765 hits=45 rpm~2991 conc=300 inflight=292 429=0
[mega] 58500/130765 hits=45 rpm~2995 conc=300 inflight=180 429=0
[mega] 59000/130765 hits=45 rpm~2988 conc=300 inflight=299 429=0
[mega] 59500/130765 hits=45 rpm~2992 conc=300 inflight=247 429=0
[mega] 60000/130765 hits=45 rpm~2996 conc=300 inflight=0 429=0
[mega] 60500/130765 hits=45 rpm~2988 conc=300 inflight=299 429=0
[mega] 61000/130765 hits=45 rpm~2992 conc=300 inflight=292 429=0
[mega] 61500/130765 hits=45 rpm~2995 conc=300 inflight=180 429=0
[mega] 62000/130765 hits=45 rpm~2992 conc=300 inflight=132 429=1
[mega] 62500/130765 hits=45 rpm~2994 conc=300 inflight=208 429=1
[mega] 63000/130765 hits=45 rpm~2989 conc=300 inflight=299 429=1
[mega] 63500/130765 hits=45 rpm~2990 conc=300 inflight=286 429=1
[mega] 64000/130765 hits=45 rpm~2993 conc=300 inflight=218 429=1
[mega] 64500/130765 hits=45 rpm~2997 conc=300 inflight=114 429=1
[mega] 65000/130765 hits=45 rpm~2992 conc=300 inflight=0 429=1
[mega] 65500/130765 hits=46 rpm~2993 conc=300 inflight=215 429=1
[mega] 66000/130765 hits=46 rpm~2992 conc=300 inflight=195 429=1
[mega] 66500/130765 hits=49 rpm~2989 conc=300 inflight=289 429=1
[mega] 67000/130765 hits=51 rpm~2992 conc=300 inflight=218 429=1
[mega] 67500/130765 hits=53 rpm~2998 conc=300 inflight=114 429=1
[mega] 68000/130765 hits=54 rpm~2994 conc=300 inflight=0 429=1
[mega] 68500/130765 hits=56 rpm~2995 conc=300 inflight=171 429=1
[mega] 69000/130765 hits=56 rpm~2990 conc=300 inflight=299 429=1
[mega] 69500/130765 hits=56 rpm~2991 conc=300 inflight=216 429=1
[mega] 70000/130765 hits=56 rpm~2996 conc=300 inflight=0 429=1
[mega] 70500/130765 hits=56 rpm~2988 conc=300 inflight=299 429=1
[mega] 71000/130765 hits=56 rpm~2990 conc=300 inflight=298 429=1
[mega] 71500/130765 hits=56 rpm~2986 conc=300 inflight=299 429=1
[mega] 72000/130765 hits=56 rpm~2988 conc=300 inflight=299 429=1
[mega] 72500/130765 hits=56 rpm~2992 conc=300 inflight=205 429=1
[mega] 73000/130765 hits=56 rpm~2992 conc=300 inflight=218 429=1
[mega] 73500/130765 hits=56 rpm~2988 conc=300 inflight=298 429=1
[mega] 74000/130765 hits=56 rpm~2991 conc=300 inflight=298 429=1
[mega] 74500/130765 hits=56 rpm~2994 conc=300 inflight=153 429=1
[mega] 75000/130765 hits=56 rpm~2990 conc=300 inflight=0 429=1
[mega] 75500/130765 hits=56 rpm~2993 conc=300 inflight=167 429=1
[mega] 76000/130765 hits=56 rpm~2991 conc=300 inflight=218 429=1
[mega] 76500/130765 hits=56 rpm~2989 conc=300 inflight=268 429=1
[mega] 77000/130765 hits=56 rpm~2989 conc=300 inflight=299 429=1
[mega] 77500/130765 hits=56 rpm~2991 conc=300 inflight=246 429=1
