PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
`rope_parameters`'s factor field must be a float >= 1, got 40
`rope_parameters`'s beta_fast field must be a float, got 32
`rope_parameters`'s beta_slow field must be a float, got 1
already probed: 908800
tiktoken cl100k_base: +99479
tiktoken o200k_base: +114048
tiktoken gpt2: +5337
tiktoken r50k_base: +0
tiktoken p50k_base: +0
hf Qwen/Qwen2.5-0.5B: +37111
hf bigscience/bloom: +143610
hf facebook/mbart-large-50: +165028
hf google/mt5-base: +92365
hf xlm-roberta-base: +0
hf baichuan-inc/Baichuan2-7B-Base: +45268
hf deepseek-ai/DeepSeek-V2-Lite: +13141
[hf] skip Salesforce/codet5p-220m: Input must be a List[Union[str, AddedToken]]
hf Salesforce/codet5p-220m: +0
hf EleutherAI/gpt-neox-20b: +2335
hf microsoft/deberta-v3-base: +59978
hf sentence-transformers/LaBSE: +312857
total unique: 1090557, NEW: 887622
[counter] model=claude-opus-4-7 baseline(§§)=13
[full] resume: 0 already done, 887622 pending
[full] 146000/887622 hits=82 rpm~2313 conc=8 inflight=7 429=541
[full] 148000/887622 hits=85 rpm~2319 conc=31 inflight=30 429=541
[full] 150000/887622 hits=88 rpm~2307 conc=17 inflight=0 429=550
[full] 152000/887622 hits=89 rpm~2320 conc=50 inflight=49 429=550
[full] 154000/887622 hits=91 rpm~2299 conc=16 inflight=15 429=561
[full] 156000/887622 hits=91 rpm~2305 conc=4 inflight=3 429=602
[full] 158000/887622 hits=92 rpm~2295 conc=25 inflight=24 429=602
[full] 160000/887622 hits=93 rpm~2284 conc=12 inflight=0 429=633
[full] 162000/887622 hits=93 rpm~2293 conc=38 inflight=37 429=633
[full] 164000/887622 hits=95 rpm~2277 conc=20 inflight=19 429=659
[full] 166000/887622 hits=97 rpm~2276 conc=4 inflight=3 429=694
[full] 168000/887622 hits=98 rpm~2277 conc=25 inflight=24 429=694
[full] 170000/887622 hits=101 rpm~2264 conc=16 inflight=0 429=718
[full] 172000/887622 hits=103 rpm~2270 conc=4 inflight=3 429=745
[full] 174000/887622 hits=105 rpm~2258 conc=25 inflight=24 429=745
[full] 176000/887622 hits=106 rpm~2249 conc=12 inflight=11 429=771
[full] 178000/887622 hits=106 rpm~2258 conc=38 inflight=37 429=771
[full] 180000/887622 hits=110 rpm~2260 conc=112 inflight=0 429=771
[full] 182000/887622 hits=110 rpm~2268 conc=300 inflight=17 429=771
[full] 184000/887622 hits=113 rpm~2276 conc=300 inflight=38 429=771
[full] 186000/887622 hits=116 rpm~2278 conc=300 inflight=34 429=771
[full] 188000/887622 hits=117 rpm~2286 conc=300 inflight=0 429=771
[full] 190000/887622 hits=118 rpm~2284 conc=4 inflight=0 429=798
[full] 192000/887622 hits=118 rpm~2277 conc=25 inflight=24 429=798
[full] 194000/887622 hits=120 rpm~2283 conc=72 inflight=20 429=798
[full] 196000/887622 hits=124 rpm~2289 conc=218 inflight=217 429=798
[full] 198000/887622 hits=126 rpm~2294 conc=300 inflight=85 429=798
[full] 200000/887622 hits=129 rpm~2298 conc=300 inflight=0 429=798
[full] 202000/887622 hits=130 rpm~2306 conc=300 inflight=172 429=798
[full] 204000/887622 hits=132 rpm~2310 conc=300 inflight=94 429=798
[full] 206000/887622 hits=134 rpm~2315 conc=300 inflight=0 429=798
[full] 208000/887622 hits=135 rpm~2305 conc=8 inflight=7 429=815
[full] 210000/887622 hits=137 rpm~2306 conc=31 inflight=0 429=815
[full] 212000/887622 hits=139 rpm~2310 conc=90 inflight=17 429=815
[full] 214000/887622 hits=141 rpm~2319 conc=272 inflight=46 429=815
[full] 216000/887622 hits=145 rpm~2321 conc=300 inflight=0 429=815
[full] 218000/887622 hits=146 rpm~2324 conc=300 inflight=57 429=815
[full] 220000/887622 hits=147 rpm~2333 conc=300 inflight=0 429=815
[full] 222000/887622 hits=148 rpm~2335 conc=300 inflight=0 429=815
[full] 224000/887622 hits=149 rpm~2338 conc=300 inflight=0 429=815
[full] 226000/887622 hits=149 rpm~2331 conc=8 inflight=7 429=837
[full] 228000/887622 hits=151 rpm~2332 conc=31 inflight=30 429=837
[full] 230000/887622 hits=153 rpm~2335 conc=90 inflight=0 429=837
[full] 232000/887622 hits=154 rpm~2343 conc=272 inflight=89 429=837
[full] 234000/887622 hits=156 rpm~2345 conc=300 inflight=35 429=837
[full] 236000/887622 hits=156 rpm~2335 conc=12 inflight=11 429=855
[full] 238000/887622 hits=159 rpm~2339 conc=38 inflight=37 429=855
[full] 240000/887622 hits=161 rpm~2342 conc=112 inflight=0 429=855
[full] 242000/887622 hits=161 rpm~2348 conc=300 inflight=26 429=855
[full] 244000/887622 hits=161 rpm~2352 conc=300 inflight=42 429=855
[full] 246000/887622 hits=163 rpm~2354 conc=300 inflight=15 429=855
[full] 248000/887622 hits=164 rpm~2360 conc=300 inflight=0 429=855
[full] 250000/887622 hits=167 rpm~2364 conc=300 inflight=0 429=855
[full] 252000/887622 hits=168 rpm~2366 conc=300 inflight=0 429=855
[full] 254000/887622 hits=169 rpm~2356 conc=12 inflight=11 429=886
[full] 256000/887622 hits=172 rpm~2363 conc=38 inflight=37 429=886
[full] 258000/887622 hits=174 rpm~2364 conc=112 inflight=0 429=886
[full] 260000/887622 hits=175 rpm~2368 conc=300 inflight=0 429=886
[full] 262000/887622 hits=176 rpm~2374 conc=300 inflight=48 429=886
[full] 264000/887622 hits=177 rpm~2375 conc=300 inflight=25 429=886
[full] 266000/887622 hits=178 rpm~2379 conc=300 inflight=0 429=886
[full] 268000/887622 hits=180 rpm~2378 conc=4 inflight=3 429=916
[full] 270000/887622 hits=181 rpm~2373 conc=25 inflight=0 429=916
[full] 272000/887622 hits=185 rpm~2376 conc=72 inflight=19 429=916
[full] 274000/887622 hits=186 rpm~2383 conc=218 inflight=43 429=916
[full] 276000/887622 hits=188 rpm~2384 conc=300 inflight=27 429=916
[full] 278000/887622 hits=189 rpm~2387 conc=300 inflight=0 429=916
[full] 280000/887622 hits=193 rpm~2394 conc=300 inflight=0 429=916
[full] 282000/887622 hits=194 rpm~2394 conc=300 inflight=27 429=916
[full] 284000/887622 hits=197 rpm~2386 conc=12 inflight=11 429=963
[full] 286000/887622 hits=198 rpm~2392 conc=38 inflight=37 429=963
[full] 288000/887622 hits=198 rpm~2393 conc=112 inflight=0 429=963
[full] 290000/887622 hits=198 rpm~2396 conc=300 inflight=0 429=963
[full] 292000/887622 hits=200 rpm~2402 conc=300 inflight=245 429=963
[full] 294000/887622 hits=202 rpm~2403 conc=300 inflight=0 429=963
[full] 296000/887622 hits=203 rpm~2405 conc=300 inflight=31 429=963
[full] 298000/887622 hits=206 rpm~2400 conc=8 inflight=7 429=984
[full] 300000/887622 hits=207 rpm~2398 conc=31 inflight=0 429=984
[full] 302000/887622 hits=207 rpm~2401 conc=90 inflight=20 429=984
[full] 304000/887622 hits=209 rpm~2407 conc=272 inflight=46 429=984
[full] 306000/887622 hits=211 rpm~2408 conc=300 inflight=0 429=984
[full] 308000/887622 hits=213 rpm~2410 conc=300 inflight=0 429=984
[full] 310000/887622 hits=214 rpm~2417 conc=300 inflight=0 429=984
[full] 312000/887622 hits=217 rpm~2417 conc=300 inflight=0 429=984
[full] 314000/887622 hits=220 rpm~2407 conc=16 inflight=15 429=1021
[full] 316000/887622 hits=220 rpm~2413 conc=47 inflight=46 429=1021
[full] 318000/887622 hits=221 rpm~2413 conc=140 inflight=31 429=1021
[full] 320000/887622 hits=222 rpm~2416 conc=300 inflight=0 429=1021
[full] 322000/887622 hits=224 rpm~2422 conc=300 inflight=94 429=1021
