known: 13192, probed: 753009
productive short tokens: 2726
pair candidates: 500000
top 30: [' itemsnative', ' itemsbig ', ' itemsreview', ' itemsusing', ' itemsamong ', ' itemstitle ', ' itemsmade ', ' itemsjoin ', ' itemsmuch', ' itemsimages', ' itemslen', ' itemsindex ', ' itemsnew ', ' itemsel ', ' itemsmed ', ' itemslabel ', ' itemsnone', ' itemsIf', ' itemsmath', ' itemse ', ' itemsfew ', ' itemsown ', ' itemsgood ', ' itemsio ', ' itemsII', ' itemspoint ', ' itemscourse', ' itemsthose', ' itemsFrom', ' itemsList']
[counter] model=claude-opus-4-7 baseline(§§)=13
[pair] resume: 0 already done, 500000 pending
[pair] 38000/500000 hits=1 rpm~2974 conc=300 inflight=0 429=1
[pair] 38500/500000 hits=1 rpm~2943 conc=300 inflight=299 429=1
[pair] 39000/500000 hits=1 rpm~2948 conc=300 inflight=298 429=1
[pair] 39500/500000 hits=1 rpm~2953 conc=300 inflight=289 429=1
[pair] 40000/500000 hits=1 rpm~2959 conc=300 inflight=0 429=1
[pair] 40500/500000 hits=1 rpm~2949 conc=300 inflight=299 429=1
[pair] 41000/500000 hits=1 rpm~2955 conc=300 inflight=0 429=1
[pair] 41500/500000 hits=1 rpm~2946 conc=300 inflight=299 429=1
[pair] 42000/500000 hits=1 rpm~2950 conc=300 inflight=298 429=1
[pair] 42500/500000 hits=1 rpm~2956 conc=300 inflight=282 429=1
[pair] 43000/500000 hits=1 rpm~2955 conc=300 inflight=299 429=1
[pair] 43500/500000 hits=1 rpm~2950 conc=300 inflight=299 429=1
[pair] 44000/500000 hits=1 rpm~2956 conc=300 inflight=0 429=1
[pair] 44500/500000 hits=1 rpm~2959 conc=300 inflight=167 429=1
[pair] 45000/500000 hits=1 rpm~2967 conc=300 inflight=0 429=1
[pair] 45500/500000 hits=1 rpm~2956 conc=300 inflight=299 429=1
[pair] 46000/500000 hits=1 rpm~2962 conc=300 inflight=82 429=1
[pair] 46500/500000 hits=1 rpm~2960 conc=300 inflight=249 429=1
[pair] 47000/500000 hits=1 rpm~2974 conc=300 inflight=0 429=1
[pair] 47500/500000 hits=1 rpm~2953 conc=300 inflight=257 429=1
[pair] 48000/500000 hits=1 rpm~2958 conc=300 inflight=214 429=1
[pair] 48500/500000 hits=1 rpm~2964 conc=300 inflight=164 429=1
[pair] 49000/500000 hits=1 rpm~2970 conc=300 inflight=0 429=1
[pair] 49500/500000 hits=1 rpm~2963 conc=300 inflight=244 429=1
[pair] 50000/500000 hits=1 rpm~2969 conc=300 inflight=0 429=1
[pair] 50500/500000 hits=1 rpm~2954 conc=300 inflight=299 429=1
[pair] 51000/500000 hits=1 rpm~2959 conc=300 inflight=214 429=1
[pair] 51500/500000 hits=1 rpm~2966 conc=300 inflight=110 429=1
[pair] 52000/500000 hits=1 rpm~2972 conc=300 inflight=0 429=1
[pair] 52500/500000 hits=1 rpm~2965 conc=300 inflight=244 429=1
[pair] 53000/500000 hits=1 rpm~2971 conc=300 inflight=0 429=1
[pair] 53500/500000 hits=1 rpm~2962 conc=300 inflight=181 429=1
[pair] 54000/500000 hits=1 rpm~2967 conc=300 inflight=85 429=1
[pair] 54500/500000 hits=1 rpm~2960 conc=300 inflight=299 429=1
[pair] 55000/500000 hits=1 rpm~2965 conc=300 inflight=0 429=1
[pair] 55500/500000 hits=1 rpm~2972 conc=300 inflight=133 429=1
[pair] 56000/500000 hits=1 rpm~2971 conc=300 inflight=0 429=1
[pair] 56500/500000 hits=1 rpm~2962 conc=300 inflight=210 429=1
[pair] 57000/500000 hits=1 rpm~2963 conc=300 inflight=214 429=1
[pair] 57500/500000 hits=1 rpm~2962 conc=300 inflight=299 429=1
[pair] 58000/500000 hits=1 rpm~2968 conc=300 inflight=0 429=1
[pair] 58500/500000 hits=1 rpm~2972 conc=300 inflight=133 429=1
[pair] 59000/500000 hits=1 rpm~2968 conc=300 inflight=0 429=1
[pair] 59500/500000 hits=1 rpm~2966 conc=300 inflight=178 429=1
[pair] 60000/500000 hits=1 rpm~2971 conc=300 inflight=0 429=1
[pair] 60500/500000 hits=1 rpm~2963 conc=300 inflight=297 429=1
[pair] 61000/500000 hits=1 rpm~2969 conc=300 inflight=0 429=1
[pair] 61500/500000 hits=1 rpm~2964 conc=300 inflight=290 429=1
[pair] 62000/500000 hits=1 rpm~2968 conc=300 inflight=0 429=1
[pair] 62500/500000 hits=1 rpm~2961 conc=300 inflight=257 429=1
[pair] 63000/500000 hits=1 rpm~2966 conc=300 inflight=214 429=1
[pair] 63500/500000 hits=1 rpm~2971 conc=300 inflight=110 429=1
[pair] 64000/500000 hits=1 rpm~2970 conc=300 inflight=0 429=1
[pair] 64500/500000 hits=1 rpm~2970 conc=300 inflight=244 429=1
[pair] 65000/500000 hits=1 rpm~2975 conc=300 inflight=0 429=1
[pair] 65500/500000 hits=1 rpm~2968 conc=300 inflight=181 429=1
[pair] 66000/500000 hits=1 rpm~2972 conc=300 inflight=0 429=1
[pair] 66500/500000 hits=1 rpm~2966 conc=300 inflight=298 429=1
[pair] 67000/500000 hits=1 rpm~2971 conc=300 inflight=27 429=1
[pair] 67500/500000 hits=1 rpm~2970 conc=300 inflight=244 429=1
[pair] 68000/500000 hits=1 rpm~2971 conc=300 inflight=0 429=1
[pair] 68500/500000 hits=1 rpm~2968 conc=300 inflight=181 429=1
[pair] 69000/500000 hits=1 rpm~2972 conc=300 inflight=0 429=1
[pair] 69500/500000 hits=1 rpm~2966 conc=300 inflight=299 429=1
[pair] 70000/500000 hits=1 rpm~2971 conc=300 inflight=0 429=1
[pair] 70500/500000 hits=1 rpm~2968 conc=300 inflight=299 429=1
[pair] 71000/500000 hits=1 rpm~2970 conc=300 inflight=0 429=1
[pair] 71500/500000 hits=1 rpm~2969 conc=300 inflight=181 429=1
[pair] 72000/500000 hits=1 rpm~2967 conc=300 inflight=214 429=1
[pair] 72500/500000 hits=1 rpm~2970 conc=300 inflight=202 429=1
[pair] 73000/500000 hits=1 rpm~2974 conc=300 inflight=0 429=1
[pair] 73500/500000 hits=1 rpm~2968 conc=300 inflight=294 429=1
[pair] 74000/500000 hits=1 rpm~2934 conc=4 inflight=3 429=61
[pair] 74500/500000 hits=1 rpm~2905 conc=12 inflight=11 429=61
[pair] 75000/500000 hits=1 rpm~2899 conc=16 inflight=0 429=61
[pair] 75500/500000 hits=1 rpm~2900 conc=20 inflight=19 429=61
[pair] 76000/500000 hits=1 rpm~2906 conc=25 inflight=24 429=61
[pair] 76500/500000 hits=1 rpm~2871 conc=4 inflight=3 429=78
[pair] 77000/500000 hits=1 rpm~2842 conc=8 inflight=7 429=78
[pair] 77500/500000 hits=2 rpm~2836 conc=16 inflight=15 429=78
[pair] 78000/500000 hits=2 rpm~2837 conc=20 inflight=19 429=78
[pair] 78500/500000 hits=3 rpm~2843 conc=25 inflight=24 429=78
[pair] 79000/500000 hits=3 rpm~2851 conc=31 inflight=29 429=78
[pair] 79500/500000 hits=3 rpm~2862 conc=47 inflight=46 429=78
[pair] 80000/500000 hits=3 rpm~2847 conc=58 inflight=0 429=78
[pair] 80500/500000 hits=3 rpm~2842 conc=72 inflight=16 429=78
[pair] 81000/500000 hits=3 rpm~2843 conc=90 inflight=23 429=78
[pair] 81500/500000 hits=3 rpm~2848 conc=140 inflight=26 429=78
[pair] 82000/500000 hits=3 rpm~2856 conc=175 inflight=41 429=78
[pair] 82500/500000 hits=3 rpm~2866 conc=218 inflight=50 429=78
[pair] 83000/500000 hits=3 rpm~2853 conc=272 inflight=0 429=78
[pair] 83500/500000 hits=3 rpm~2847 conc=300 inflight=16 429=78
[pair] 84000/500000 hits=3 rpm~2848 conc=300 inflight=17 429=78
[pair] 84500/500000 hits=3 rpm~2853 conc=300 inflight=23 429=78
[pair] 85000/500000 hits=3 rpm~2861 conc=300 inflight=0 429=78
[pair] 85500/500000 hits=3 rpm~2823 conc=4 inflight=3 429=226
[pair] 86000/500000 hits=3 rpm~2796 conc=8 inflight=7 429=226
[pair] 86500/500000 hits=3 rpm~2791 conc=16 inflight=15 429=226
[pair] 87000/500000 hits=3 rpm~2792 conc=20 inflight=19 429=226
[pair] 87500/500000 hits=3 rpm~2797 conc=25 inflight=24 429=226
[pair] 88000/500000 hits=3 rpm~2804 conc=31 inflight=30 429=226
[pair] 88500/500000 hits=3 rpm~2813 conc=47 inflight=46 429=226
[pair] 89000/500000 hits=3 rpm~2803 conc=58 inflight=7 429=226
[pair] 89500/500000 hits=3 rpm~2797 conc=72 inflight=13 429=226
[pair] 90000/500000 hits=3 rpm~2798 conc=90 inflight=0 429=226
[pair] 90500/500000 hits=3 rpm~2803 conc=140 inflight=25 429=226
[pair] 91000/500000 hits=3 rpm~2810 conc=175 inflight=39 429=226
[pair] 91500/500000 hits=3 rpm~2817 conc=218 inflight=152 429=226
[pair] 92000/500000 hits=3 rpm~2809 conc=272 inflight=7 429=226
[pair] 92500/500000 hits=3 rpm~2804 conc=300 inflight=13 429=226
[pair] 93000/500000 hits=3 rpm~2804 conc=300 inflight=26 429=226
[pair] 93500/500000 hits=3 rpm~2809 conc=300 inflight=25 429=226
[pair] 94000/500000 hits=3 rpm~2816 conc=300 inflight=35 429=226
[pair] 94500/500000 hits=3 rpm~2824 conc=300 inflight=48 429=226
[pair] 95000/500000 hits=3 rpm~2814 conc=300 inflight=0 429=226
[pair] 95500/500000 hits=4 rpm~2809 conc=300 inflight=18 429=226
[pair] 96000/500000 hits=4 rpm~2788 conc=4 inflight=3 429=249
[pair] 96500/500000 hits=4 rpm~2763 conc=8 inflight=7 429=249
[pair] 97000/500000 hits=4 rpm~2757 conc=16 inflight=15 429=249
[pair] 97500/500000 hits=4 rpm~2758 conc=20 inflight=19 429=249
[pair] 98000/500000 hits=4 rpm~2762 conc=25 inflight=24 429=249
