known=13239 already=1087345
total unique candidates: 106080
[counter] model=claude-opus-4-7 baseline(§§)=13
[brute_full] resume: 0 already done, 106080 pending
[brute_full] 39500/106080 hits=83 rpm~1879 conc=8 inflight=7 429=386
[brute_full] 40000/106080 hits=84 rpm~1868 conc=12 inflight=0 429=386
[brute_full] 40500/106080 hits=89 rpm~1874 conc=20 inflight=19 429=386
[brute_full] 41000/106080 hits=89 rpm~1855 conc=4 inflight=3 429=396
[brute_full] 41500/106080 hits=89 rpm~1836 conc=8 inflight=7 429=396
[brute_full] 42000/106080 hits=90 rpm~1837 conc=16 inflight=15 429=396
[brute_full] 42500/106080 hits=90 rpm~1844 conc=20 inflight=19 429=396
[brute_full] 43000/106080 hits=92 rpm~1856 conc=25 inflight=24 429=396
[brute_full] 43500/106080 hits=92 rpm~1869 conc=31 inflight=30 429=396
[brute_full] 44000/106080 hits=95 rpm~1885 conc=47 inflight=46 429=396
[brute_full] 44500/106080 hits=98 rpm~1866 conc=4 inflight=3 429=406
[brute_full] 45000/106080 hits=101 rpm~1851 conc=8 inflight=0 429=406
[brute_full] 45500/106080 hits=102 rpm~1853 conc=16 inflight=15 429=406
[brute_full] 46000/106080 hits=102 rpm~1861 conc=20 inflight=19 429=406
[brute_full] 46500/106080 hits=103 rpm~1871 conc=25 inflight=23 429=406
[brute_full] 47000/106080 hits=106 rpm~1884 conc=31 inflight=30 429=406
[brute_full] 47500/106080 hits=107 rpm~1898 conc=47 inflight=46 429=406
[brute_full] 48000/106080 hits=107 rpm~1896 conc=58 inflight=8 429=406
[brute_full] 48500/106080 hits=111 rpm~1898 conc=72 inflight=17 429=406
[brute_full] 49000/106080 hits=111 rpm~1867 conc=5 inflight=4 429=419
[brute_full] 49500/106080 hits=111 rpm~1857 conc=13 inflight=12 429=419
[brute_full] 50000/106080 hits=111 rpm~1861 conc=17 inflight=0 429=419
[brute_full] 50500/106080 hits=111 rpm~1868 conc=21 inflight=20 429=419
[brute_full] 51000/106080 hits=111 rpm~1879 conc=26 inflight=25 429=419
[brute_full] 51500/106080 hits=111 rpm~1891 conc=40 inflight=39 429=419
[brute_full] 52000/106080 hits=111 rpm~1904 conc=50 inflight=44 429=419
[brute_full] 52500/106080 hits=111 rpm~1898 conc=25 inflight=14 429=423
[brute_full] 53000/106080 hits=111 rpm~1901 conc=31 inflight=13 429=423
[brute_full] 53500/106080 hits=111 rpm~1898 conc=4 inflight=3 429=436
[brute_full] 54000/106080 hits=111 rpm~1874 conc=8 inflight=7 429=436
[brute_full] 54500/106080 hits=111 rpm~1871 conc=12 inflight=11 429=436
[brute_full] 55000/106080 hits=111 rpm~1874 conc=20 inflight=0 429=436
[brute_full] 55500/106080 hits=111 rpm~1881 conc=25 inflight=24 429=436
[brute_full] 56000/106080 hits=111 rpm~1891 conc=31 inflight=30 429=436
[brute_full] 56500/106080 hits=114 rpm~1902 conc=38 inflight=37 429=436
[brute_full] 57000/106080 hits=115 rpm~1890 conc=4 inflight=3 429=460
[brute_full] 57500/106080 hits=115 rpm~1875 conc=8 inflight=7 429=460
[brute_full] 58000/106080 hits=115 rpm~1875 conc=16 inflight=15 429=460
[brute_full] 58500/106080 hits=116 rpm~1881 conc=20 inflight=19 429=460
[brute_full] 59000/106080 hits=119 rpm~1888 conc=25 inflight=24 429=460
[brute_full] 59500/106080 hits=119 rpm~1898 conc=31 inflight=30 429=460
[brute_full] 60000/106080 hits=119 rpm~1909 conc=47 inflight=0 429=460
[brute_full] 60500/106080 hits=119 rpm~1904 conc=5 inflight=4 429=468
[brute_full] 61000/106080 hits=119 rpm~1894 conc=9 inflight=8 429=468
[brute_full] 61500/106080 hits=119 rpm~1896 conc=17 inflight=16 429=468
[brute_full] 62000/106080 hits=120 rpm~1901 conc=21 inflight=20 429=468
[brute_full] 62500/106080 hits=121 rpm~1879 conc=4 inflight=3 429=479
[brute_full] 63000/106080 hits=121 rpm~1873 conc=12 inflight=11 429=479
[brute_full] 63500/106080 hits=123 rpm~1874 conc=16 inflight=15 429=479
[brute_full] 64000/106080 hits=124 rpm~1880 conc=20 inflight=19 429=479
[brute_full] 64500/106080 hits=125 rpm~1888 conc=25 inflight=24 429=479
[brute_full] 65000/106080 hits=127 rpm~1896 conc=38 inflight=0 429=479
[brute_full] 65500/106080 hits=127 rpm~1888 conc=4 inflight=3 429=508
[brute_full] 66000/106080 hits=127 rpm~1870 conc=8 inflight=7 429=508
[brute_full] 66500/106080 hits=127 rpm~1866 conc=16 inflight=15 429=508
[brute_full] 67000/106080 hits=127 rpm~1869 conc=20 inflight=19 429=508
[brute_full] 67500/106080 hits=127 rpm~1875 conc=25 inflight=24 429=508
[brute_full] 68000/106080 hits=127 rpm~1883 conc=31 inflight=30 429=508
[brute_full] 68500/106080 hits=127 rpm~1892 conc=47 inflight=46 429=508
[brute_full] 69000/106080 hits=127 rpm~1901 conc=58 inflight=8 429=508
[brute_full] 69500/106080 hits=127 rpm~1897 conc=72 inflight=16 429=508
[brute_full] 70000/106080 hits=127 rpm~1900 conc=90 inflight=0 429=508
[brute_full] 70500/106080 hits=127 rpm~1906 conc=140 inflight=25 429=508
[brute_full] 71000/106080 hits=127 rpm~1894 conc=4 inflight=3 429=538
[brute_full] 71500/106080 hits=127 rpm~1880 conc=8 inflight=7 429=538
[brute_full] 72000/106080 hits=127 rpm~1880 conc=16 inflight=15 429=538
[brute_full] 72500/106080 hits=127 rpm~1884 conc=20 inflight=19 429=538
[brute_full] 73000/106080 hits=127 rpm~1890 conc=25 inflight=24 429=538
[brute_full] 73500/106080 hits=127 rpm~1898 conc=31 inflight=30 429=538
[brute_full] 74000/106080 hits=127 rpm~1907 conc=47 inflight=46 429=538
[brute_full] 74500/106080 hits=127 rpm~1909 conc=58 inflight=7 429=538
[brute_full] 75000/106080 hits=127 rpm~1908 conc=72 inflight=0 429=538
[brute_full] 75500/106080 hits=127 rpm~1912 conc=90 inflight=18 429=538
[brute_full] 76000/106080 hits=127 rpm~1893 conc=4 inflight=3 429=557
[brute_full] 76500/106080 hits=127 rpm~1888 conc=12 inflight=11 429=557
[brute_full] 77000/106080 hits=127 rpm~1890 conc=16 inflight=15 429=557
[brute_full] 77500/106080 hits=127 rpm~1894 conc=20 inflight=19 429=557
[brute_full] 78000/106080 hits=127 rpm~1900 conc=25 inflight=24 429=557
[brute_full] 78500/106080 hits=127 rpm~1907 conc=38 inflight=37 429=557
[brute_full] 79000/106080 hits=127 rpm~1911 conc=4 inflight=3 429=580
[brute_full] 79500/106080 hits=127 rpm~1892 conc=8 inflight=7 429=580
[brute_full] 80000/106080 hits=127 rpm~1888 conc=12 inflight=0 429=580
[brute_full] 80500/106080 hits=127 rpm~1890 conc=16 inflight=15 429=580
[brute_full] 81000/106080 hits=127 rpm~1895 conc=25 inflight=24 429=580
[brute_full] 81500/106080 hits=127 rpm~1902 conc=31 inflight=30 429=580
[brute_full] 82000/106080 hits=127 rpm~1909 conc=38 inflight=37 429=580
[brute_full] 82500/106080 hits=127 rpm~1915 conc=4 inflight=3 429=595
[brute_full] 83000/106080 hits=127 rpm~1896 conc=8 inflight=7 429=595
[brute_full] 83500/106080 hits=127 rpm~1894 conc=12 inflight=11 429=595
[brute_full] 84000/106080 hits=127 rpm~1897 conc=16 inflight=15 429=595
[brute_full] 84500/106080 hits=127 rpm~1901 conc=25 inflight=24 429=595
[brute_full] 85000/106080 hits=127 rpm~1908 conc=31 inflight=0 429=595
[brute_full] 85500/106080 hits=127 rpm~1915 conc=38 inflight=37 429=595
